OG_name	Fhon	LAan	LAce	LAdo	LAfl	LAko	LAla	LAni	LAnu	LMbe	LMbo	Laci	Lamy	Lapi	Lapn	Lbre	Lcri	Ldel	Lflo	Lfru	Lgas	Lhls	Lhlv	Ljoh	Lkef	Lkim	Lkul	Llin	Lmlf	Lmls	Lmlv	Loze	Lsan	Ppen	YH15	wB10	wkB8	
OG1.5_1000	4	4	4	4	4	4	4	4	4	4	4	7	6	3	4	11	2	3	3	6	3	3	22	3	3	3	3	3	2	2	3	4	3	4	4	3	3	
OG1.5_1001	2	0	0	0	1	0	3	0	0	1	2	13	9	0	2	2	1	4	0	0	15	2	40	0	2	4	2	0	0	0	3	1	16	0	2	2	3	
OG1.5_1002	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	111	0	2	0	0	0	0	0	0	1	8	0	0	0	0	
OG1.5_1003	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	28	1	1	0	0	0	0	70	5	6	1	1	0	0	0	0	0	0	0	0	1	0	
OG1.5_1004	2	2	2	2	2	2	2	2	2	2	2	5	4	2	2	7	2	2	2	4	2	2	17	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
OG1.5_1005	2	3	2	1	2	3	3	2	3	3	3	6	5	2	2	3	3	2	2	2	2	2	17	2	2	2	2	2	1	1	2	2	1	2	3	2	2	
OG1.5_1006	2	2	2	2	2	2	2	2	2	2	2	5	5	2	2	8	2	2	2	4	2	2	14	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
OG1.5_1007	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	8	2	2	2	6	2	2	13	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
OG1.5_1008	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	4	5	0	0	1	0	66	0	6	0	0	1	0	0	0	0	2	0	0	0	0	
OG1.5_1009	1	1	1	1	1	1	1	1	1	1	1	7	6	2	1	4	3	1	1	2	3	2	25	3	3	2	2	1	1	1	2	1	2	2	1	2	2	
OG1.5_1010	2	2	2	2	2	2	2	2	2	2	2	7	4	1	2	4	3	2	1	2	3	1	23	3	3	1	1	1	0	0	1	2	1	0	2	1	1	
OG1.5_1011	0	0	0	0	0	0	0	0	0	0	0	10	8	2	0	9	3	2	1	2	3	3	18	5	2	3	3	1	1	1	3	1	1	2	0	3	3	
OG1.5_1012	1	0	0	0	0	0	0	0	0	0	0	9	6	4	1	3	3	2	1	0	2	3	17	4	0	5	5	0	0	0	2	1	1	0	0	5	4	
OG1.5_1013	2	1	3	1	3	3	3	2	3	2	2	4	4	2	1	6	2	5	1	2	0	0	9	0	2	1	1	1	3	3	0	1	0	1	2	1	0	
OG1.5_1014	1	1	1	1	1	1	1	1	1	1	1	5	5	2	1	3	2	2	1	2	1	2	21	3	1	1	1	1	1	1	2	1	1	1	1	1	2	
OG1.5_1015	1	1	1	1	1	1	1	1	1	1	1	10	8	1	1	3	2	1	1	2	2	1	14	2	3	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1016	2	2	2	2	2	2	2	2	2	2	2	3	1	2	2	4	1	1	1	2	1	2	9	1	1	2	2	1	2	2	2	1	1	1	2	2	2	
OG1.5_1017	1	2	2	2	2	2	2	1	2	2	2	4	5	1	2	8	2	1	1	2	2	2	7	2	1	1	1	0	0	0	1	2	1	0	2	1	2	
OG1.5_1018	1	1	1	1	1	1	1	1	1	1	1	5	3	1	1	7	1	1	2	2	2	1	14	2	2	1	1	3	1	1	1	1	3	1	1	1	1	
OG1.5_1019	1	1	1	1	1	1	1	1	1	1	1	6	4	2	1	4	2	2	1	2	2	2	10	2	2	2	2	1	1	1	2	1	1	1	1	2	2	
OG1.5_1020	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	2	10	0	0	0	0	33	7	2	1	0	0	0	0	1	0	0	0	0	1	0	
OG1.5_1021	2	2	2	1	2	2	2	2	2	2	2	3	3	1	2	3	1	1	2	2	1	1	7	1	1	1	1	2	2	2	1	2	1	2	2	1	1	
OG1.5_1022	1	1	1	1	1	1	1	1	1	1	1	4	3	1	1	7	2	1	1	2	2	1	14	2	2	1	1	1	1	1	1	2	1	1	1	1	1	
OG1.5_1023	1	1	1	1	1	1	1	1	1	1	1	3	4	1	1	5	1	1	2	2	2	1	13	2	2	1	1	2	1	1	1	2	1	2	1	1	1	
OG1.5_1024	1	1	1	1	1	1	1	1	1	1	1	6	6	1	1	4	1	1	1	2	1	1	14	1	2	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1025	2	2	2	2	2	2	2	2	2	2	2	3	1	1	1	3	1	1	1	2	1	1	9	1	1	1	1	1	1	1	1	2	1	1	2	1	1	
OG1.5_1026	1	1	1	1	1	1	1	1	1	1	1	5	3	1	1	3	2	1	1	2	2	1	14	2	2	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1027	1	1	1	1	1	1	1	1	1	1	1	6	2	1	1	6	1	1	2	4	1	3	1	1	1	2	2	2	1	1	2	1	2	1	1	3	3	
OG1.5_1028	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	3	5	0	0	0	0	0	36	0	0	1	1	0	0	0	0	1	0	0	0	0	0	
OG1.5_1029	2	2	2	1	2	2	2	2	2	2	2	2	3	1	2	7	2	1	1	2	1	1	4	1	1	1	1	1	1	1	1	2	0	1	2	1	1	
OG1.5_1030	1	1	1	1	1	1	1	1	1	1	1	3	5	1	1	3	2	1	0	0	2	1	15	2	2	1	1	1	2	2	1	1	1	0	1	1	1	
OG1.5_1031	2	2	2	2	2	2	2	2	2	2	2	6	3	0	2	4	1	0	0	0	2	0	11	2	1	0	0	0	1	1	0	2	0	1	2	0	0	
OG1.5_1032	1	1	1	1	1	1	1	1	1	1	1	5	4	1	1	3	2	1	1	2	2	1	11	2	1	1	1	1	1	1	1	1	1	2	1	1	1	
OG1.5_1033	2	2	2	2	2	2	2	2	2	2	2	2	2	1	2	3	1	1	1	2	1	1	7	1	1	1	1	1	0	0	1	2	1	1	2	1	1	
OG1.5_1034	1	1	1	1	1	1	1	1	1	1	1	4	4	1	1	7	1	1	1	2	1	1	8	2	2	1	1	1	1	1	1	1	0	1	1	1	1	
OG1.5_1035	1	1	1	1	1	1	1	1	1	1	1	3	2	1	1	6	1	1	1	2	1	2	5	1	1	2	2	1	2	2	2	1	1	1	1	2	2	
