OG_name	Fhon	LAan	LAce	LAdo	LAfl	LAko	LAla	LAni	LAnu	LMbe	LMbo	Laci	Lamy	Lapi	Lapn	Lbre	Lcri	Ldel	Lflo	Lfru	Lgas	Lhls	Lhlv	Ljoh	Lkef	Lkim	Lkul	Llin	Lmlf	Lmls	Lmlv	Loze	Lsan	Ppen	YH15	wB10	wkB8	
OG1.5_1000	4	4	4	4	4	4	4	4	4	4	4	6	6	3	4	8	2	3	3	6	3	3	19	3	3	3	3	3	2	2	3	4	3	4	4	3	3	
OG1.5_1001	2	0	0	0	1	0	3	0	0	1	2	9	9	0	2	2	1	4	0	0	15	2	40	0	2	4	2	0	0	0	3	1	16	0	2	2	3	
OG1.5_1002	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	0	0	0	0	111	0	2	0	0	0	0	0	0	1	8	0	0	0	0	
OG1.5_1003	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	28	1	1	0	0	0	0	70	5	6	1	1	0	0	0	0	0	0	0	0	1	0	
OG1.5_1004	2	2	2	2	2	2	2	2	2	2	2	4	4	2	2	5	2	2	2	4	2	2	15	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
OG1.5_1005	2	3	2	1	2	3	3	2	3	3	3	4	5	2	2	2	3	2	2	2	2	2	15	2	2	2	2	2	1	1	2	2	1	2	3	2	2	
OG1.5_1006	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	6	4	5	0	0	1	0	66	0	6	0	0	1	0	0	0	0	2	0	0	0	0	
OG1.5_1007	2	2	2	2	2	2	2	2	2	2	2	4	5	2	2	6	2	2	2	4	2	2	12	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
OG1.5_1008	2	2	2	2	2	2	2	2	2	2	2	4	2	2	2	6	2	2	2	6	2	2	11	2	2	2	2	2	2	2	2	2	2	2	2	2	2	
OG1.5_1009	2	2	2	2	2	2	2	2	2	2	2	6	4	1	2	3	3	2	1	2	3	1	20	3	3	1	1	1	0	0	1	2	1	0	2	1	1	
OG1.5_1010	1	1	1	1	1	1	1	1	1	1	1	5	6	2	1	3	3	1	1	2	3	2	22	3	3	2	2	1	1	1	2	1	2	2	1	2	2	
OG1.5_1011	0	0	0	0	0	0	0	0	0	0	0	8	8	2	0	7	3	2	1	2	3	3	16	5	2	3	3	1	1	1	3	1	1	2	0	3	3	
OG1.5_1012	2	1	3	1	3	3	3	2	3	2	2	4	4	2	1	4	2	5	1	2	0	0	7	0	2	1	1	1	3	3	0	1	0	1	2	1	0	
OG1.5_1013	1	0	0	0	0	0	0	0	0	0	0	6	6	4	1	2	3	2	1	0	2	3	14	4	0	5	5	0	0	0	2	1	1	0	0	5	4	
OG1.5_1014	1	1	1	1	1	1	1	1	1	1	1	4	5	2	1	2	2	2	1	2	1	2	18	3	1	1	1	1	1	1	2	1	1	1	1	1	2	
OG1.5_1015	2	2	2	2	2	2	2	2	2	2	2	2	1	2	2	3	1	1	1	2	1	2	8	1	1	2	2	1	2	2	2	1	1	1	2	2	2	
OG1.5_1016	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	4	2	10	0	0	0	0	33	7	2	1	0	0	0	0	1	0	0	0	0	1	0	
OG1.5_1017	1	1	1	1	1	1	1	1	1	1	1	8	8	1	1	2	2	1	1	2	2	1	12	2	3	1	1	1	1	1	1	1	1	1	1	1	1	
OG1.5_1018	1	2	2	2	2	2	2	1	2	2	2	3	5	1	2	6	2	1	1	2	2	2	6	2	1	1	1	0	0	0	1	2	1	0	2	1	2	
OG1.5_1019	1	1	1	1	1	1	1	1	1	1	1	4	3	1	1	5	1	1	2	2	2	1	12	2	2	1	1	3	1	1	1	1	3	1	1	1	1	
OG1.5_1020	2	2	2	1	2	2	2	2	2	2	2	2	3	1	2	2	1	1	2	2	1	1	6	1	1	1	1	2	2	2	1	2	1	2	2	1	1	
OG1.5_1021	1	1	1	1	1	1	1	1	1	1	1	4	4	2	1	3	2	2	1	2	2	2	8	2	2	2	2	1	1	1	2	1	1	1	1	2	2	
OG1.5_1022	0	0	0	0	0	0	0	0	0	0	0	4	12	0	0	3	5	0	0	0	0	0	36	0	0	1	1	0	0	0	0	1	0	0	0	0	0	
OG1.5_1023	1	1	1	1	1	1	1	1	1	1	1	2	4	1	1	4	1	1	2	2	2	1	12	2	2	1	1	2	1	1	1	2	1	2	1	1	1	
OG1.5_1024	1	1	1	1	1	1	1	1	1	1	1	3	3	1	1	5	2	1	1	2	2	1	12	2	2	1	1	1	1	1	1	2	1	1	1	1	1	
OG1.5_1025	2	2	2	1	2	2	2	2	2	2	2	2	3	1	2	5	2	1	1	2	1	1	4	1	1	1	1	1	1	1	1	2	0	1	2	1	1	
OG1.5_1026	1	1	1	1	1	1	1	1	1	1	1	3	5	1	1	2	2	1	0	0	2	1	14	2	2	1	1	1	2	2	1	1	1	0	1	1	1	
OG1.5_1027	2	2	2	2	2	2	2	2	2	2	2	2	1	1	1	2	1	1	1	2	1	1	8	1	1	1	1	1	1	1	1	2	1	1	2	1	1	
